config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
P12345_progress,0,0.988,0.016,0.0,13.3685,1.6628618712174055,1.498,1.504,0.028170111721249894,0.4705307537385894,0.5460068661503771,0.9677143932491525,0.9950528609348337,0.6171124336868803,0.1466207666744537,13.43825910931174,1.6715881045331014,0.468187310342212,1.2308692292071493,500
P12345_progress,1,0.974,0.026,0.0,13.2125,1.6429296606790822,1.19,1.196,0.022660230828427146,0.4462180013739525,0.6093543255121628,0.9698047997942719,0.994698638928274,0.6207813417540194,0.14836891944850367,13.296714579055442,1.6535290564150924,0.4468676365414159,1.206779829895606,500
P12345_progress,2,0.948,0.06,0.0,14.0785,1.7425486638929515,1.02,1.024,0.02568062626087902,0.4546507469470857,0.614957019592622,0.9814306516314188,0.9889792895575171,0.5849332497086843,0.13483528966539124,14.407172995780591,1.784669536337741,0.42541254716995097,1.1065511344040693,500
P12345_progress,3,0.978,0.024,0.0,12.821,1.5931129090990361,1.368,1.372,0.026392858273838735,0.5035770213607043,0.5910583966057574,0.9593936314278407,0.9939522005970348,0.6352777600087384,0.15233533346451122,12.922290388548058,1.6058032812725063,0.5008429504456884,1.21461439072022,500
P12345_progress,4,0.984,0.018,0.0,12.931,1.6133390489316357,1.304,1.308,0.027106665835944895,0.6077304818958426,0.5740751575741995,0.9537526915937802,0.9981038269780469,0.6283091145097018,0.1504051686828512,12.99339430894309,1.6211481636761425,0.5880500851471574,1.2243510932036525,500
P12345_progress,5,0.986,0.016,0.0,13.2835,1.6522238811492775,1.188,1.192,0.024508876149519146,0.48337981857028045,0.5766747496679789,0.9651242965109159,0.9950061257635096,0.621381452793414,0.1465350805246227,13.395030425963489,1.6661528514717792,0.45085549676232556,1.2356472401437668,500
P2345_progress,0,0.992,0.014,0.0,13.718,1.7073991454882398,0.962,0.966,0.01765821105927715,0.5161634833463636,0.6211900941948305,0.962407863851651,0.9956227965742767,0.6015954468067319,0.1434663948180942,13.75,1.711432226800309,0.5156353738510273,0.24082971473973636,500
P2345_progress,1,0.986,0.014,0.0,13.5155,1.681703433508505,1.212,1.216,0.02480205667775862,0.4997508395201719,0.5969611767106263,0.9760448092511032,0.9953003565357341,0.611521836449966,0.1434358572112679,13.612576064908723,1.6938040238657264,0.4830640418752694,0.24624032643159752,500
P2345_progress,2,0.98,0.024,0.0,13.434,1.6715393117900357,1.218,1.222,0.025735674759971624,0.46969752095386524,0.5793700459996665,0.9853257671625067,0.9951942219711188,0.613941476033039,0.1440020905461589,13.575,1.689176572288341,0.4509817530966434,0.23444938160337006,500
P2345_progress,3,0.99,0.01,0.0,13.3655,1.6624373287552265,0.91,0.916,0.017972619966088257,0.49104853308439683,0.6451326930143374,0.9657239123847953,0.9950318351975748,0.6083033588112994,0.1463900299659721,13.408585858585859,1.6678765438096663,0.48191873444789873,0.25636238093061886,500
P2345_progress,4,0.954,0.05,0.0,13.808,1.7158672150047687,1.604,1.618,0.033322782607405156,0.5721557314495456,0.52933267207264,0.971805933123864,0.9936947314830236,0.5985444567748277,0.1385173917164113,14.150943396226415,1.7586785088843546,0.5531582387139625,0.17213147848644564,500
P2345_progress,5,0.986,0.016,0.0,14.4075,1.7975884762286574,1.046,1.05,0.021144233352545613,0.5807037577062718,0.6568939564649159,0.9754940019125747,0.998035077816599,0.5738754414388477,0.13488714313602043,14.490872210953347,1.8079952973245632,0.5565285411868862,0.21997361521100595,500
