config,seed,success_peak,success_final,drop,collapsed,policy_std_start,policy_std_end,std_ratio,runaway_exploration,alias
R12345,0,0.983,0.9614444444444443,0.02155555555555566,False,0.6065306663513184,0.3186541795730591,0.525371918109226,False,R1-5_full
R12345,1,0.984,0.9700555555555554,0.013944444444444537,False,0.6065306663513184,0.3217356204986572,0.5304523552520584,False,R1-5_full
R12345,2,0.984,0.9700000000000001,0.013999999999999901,False,0.6065306663513184,0.3234012722969055,0.5331985507713523,False,R1-5_full
R12345,3,0.977,0.9554444444444444,0.02155555555555555,False,0.6065306663513184,0.3391029238700866,0.5590861974218289,False,R1-5_full
R12345,4,0.976,0.957388888888889,0.018611111111111023,False,0.6065306663513184,0.3358378410339355,0.5537029859581898,False,R1-5_full
R12345,5,0.978,0.9693888888888887,0.008611111111111236,False,0.6065306663513184,0.3048000931739807,0.5025303914269564,False,R1-5_full
R1234,0,0.0,0.0,0.0,False,0.6065306663513184,0.4410261213779449,0.7271291392915178,False,A5_no-jerk
R1234,1,0.0,0.0,0.0,False,0.6065306663513184,0.3975116610527038,0.65538592375551,False,A5_no-jerk
R1234,2,0.0,0.0,0.0,False,0.6065306663513184,0.4670650362968445,0.770060051714365,False,A5_no-jerk
R1234,3,0.0,0.0,0.0,False,0.6065306663513184,0.4459055364131927,0.7351739345606518,False,A5_no-jerk
R1234,4,0.0,0.0,0.0,False,0.6065306663513184,0.4826246201992035,0.7957134683766423,False,A5_no-jerk
R1234,5,0.0,0.0,0.0,False,0.6065306663513184,0.443488597869873,0.7311890766179213,False,A5_no-jerk
R1235,0,0.977,0.9714444444444444,0.005555555555555536,False,0.6065306663513184,0.3407600522041321,0.5618183401245453,False,A4_no-ttc
R1235,1,0.976,0.969111111111111,0.006888888888888944,False,0.6065306663513184,0.3197369575500488,0.5271571171717949,False,A4_no-ttc
R1235,2,0.968,0.9539999999999998,0.014000000000000123,False,0.6065306663513184,0.326471745967865,0.5382609059683786,False,A4_no-ttc
R1235,3,0.953,0.9341666666666666,0.01883333333333337,False,0.6065306663513184,0.3286190629005432,0.5418012330314697,False,A4_no-ttc
R1235,4,0.9629999999999999,0.9513888888888888,0.011611111111111017,False,0.6065306663513184,0.3448624014854431,0.5685819705704539,False,A4_no-ttc
R1235,5,0.967,0.9550000000000001,0.0119999999999999,False,0.6065306663513184,0.321902185678482,0.5307269748039877,False,A4_no-ttc
R1245,0,0.959,0.9436666666666665,0.015333333333333421,False,0.6065306663513184,0.3431829512119293,0.5658130252117357,False,A3_no-space
R1245,1,0.0,0.0,0.0,False,0.6065306663513184,0.2735105156898498,0.4509426000422959,False,A3_no-space
R1245,2,0.966,0.9489444444444444,0.0170555555555556,False,0.6065306663513184,0.3333019614219665,0.5495220273477637,False,A3_no-space
R1245,3,0.9709999999999999,0.9534444444444445,0.017555555555555324,False,0.6065306663513184,0.3345472812652588,0.5515752126397518,False,A3_no-space
R1245,4,0.9719999999999999,0.9493333333333331,0.022666666666666724,False,0.6065306663513184,0.3458931148052215,0.5702813295261665,False,A3_no-space
R1245,5,0.97,0.9527222222222222,0.017277777777777725,False,0.6065306663513184,0.339363157749176,0.5595152505489442,False,A3_no-space
R1345,0,0.0,0.0,0.0,False,0.6065306663513184,0.2793614268302917,0.4605891215869344,False,A2_no-distance
R1345,1,0.0,0.0,0.0,False,0.6065306663513184,0.303730309009552,0.5007666155393098,False,A2_no-distance
R1345,2,0.984,0.9696666666666667,0.014333333333333309,False,0.6065306663513184,0.3215886950492859,0.5302101161411241,False,A2_no-distance
R1345,3,0.026000000000000002,0.0,0.026000000000000002,False,0.6065306663513184,0.2918405532836914,0.4811637225852151,False,A2_no-distance
R1345,4,0.0,0.0,0.0,False,0.6065306663513184,0.3185209333896637,0.5251522322948269,False,A2_no-distance
R1345,5,0.0,0.0,0.0,False,0.6065306663513184,0.2995796799659729,0.49392338522327667,False,A2_no-distance
R2345,0,0.9789999999999999,0.9666666666666666,0.012333333333333307,False,0.6065306663513184,0.3438820242881775,0.5669656018497045,False,A1_no-goal
R2345,1,0.9810000000000001,0.9660555555555557,0.014944444444444427,False,0.6065306663513184,0.3019893765449524,0.49789630318548855,False,A1_no-goal
R2345,2,0.984,0.9542222222222221,0.029777777777777903,False,0.6065306663513184,0.323201060295105,0.5328684569889472,False,A1_no-goal
R2345,3,0.978,0.9670555555555556,0.010944444444444423,False,0.6065306663513184,0.3257884383201599,0.537134322127506,False,A1_no-goal
R2345,4,0.99,0.9614999999999999,0.02850000000000008,False,0.6065306663513184,0.3333961367607116,0.5496772962302287,False,A1_no-goal
R2345,5,0.9809999999999999,0.9644999999999998,0.01650000000000007,False,0.6065306663513184,0.3100259304046631,0.5111463403320946,False,A1_no-goal
R123,0,0.0,0.0,0.0,False,0.6065306663513184,0.4551845788955688,0.7504724891056276,False,B4_goal+dist+space
