config,seed,success,collision,timeout,nav_time,path_length_ratio,intrusion_steps,intrusion_count,intrusion_rate,mean_sq_accel,min_separation,action_autocorr,mean_speed,displacement_efficiency,net_progress_per_step,nav_time_succ,path_length_ratio_succ,mean_sq_accel_succ,ep_return,n_episodes
Freeze,-1,0.0,0.27,0.73,20.8525,0.0,3.388,3.462,0.04847671919795574,0.0,0.47221765967186297,0.0,0.0,0.0,0.0,,,,-0.1703354915175624,500
StraightLine,-1,0.034,0.966,0.0,4.039,0.504875,5.458,7.048,0.35646426827008226,1.1032112992522964,-0.11725816911170531,0.0,1.0,1.0,0.25,7.75,0.96875,0.5161290322580645,-0.8734391380036468,500
ORCA(sigma=0.00),-1,0.206,0.794,0.0,5.3145,0.6128746984928495,8.29,11.446,0.3824788771689112,1.1384594415142346,-0.02619671351898642,0.5464359449815196,0.9288035387276647,0.9695783437692093,0.22136828213433588,8.842233009708737,1.0456505829334815,0.6933148144468594,-0.6147596243391974,500
ORCA(sigma=0.15),-1,0.54,0.46,0.0,7.7795,0.8761445666561465,14.462,20.678,0.43840080833210715,1.1451705912376724,0.04647970583852161,0.6514359583477126,0.9080596037964151,0.9057169940513748,0.2035375230728578,10.018518518518519,1.1424284479347269,0.9701986702115863,-0.002682488320894759,500
ORCA(sigma=0.30),-1,0.67,0.33,0.0,9.53,1.0468501733329643,17.922,25.37,0.45613626040063593,1.2935192132991338,0.12789212896365948,0.7604430042720254,0.8836839252389507,0.8317171390155106,0.18136932467211472,11.557462686567165,1.2795287522285086,1.1445825938951582,0.33196319346722314,500
ORCA(sigma=0.45),-1,0.714,0.282,0.004,10.777,1.149617475924574,16.376,22.628,0.37959949712228014,1.305787249145813,0.22223779135779145,0.8047049197454614,0.8556229939863023,0.7908878941657477,0.1671136423334557,12.677871148459383,1.3707403509560885,1.1768282707914168,0.5494571018330635,500
