config,n_seeds,seeds_solved,success_mean,success_lo,success_hi,success_ci95,success_median,success_iqr,collision_mean,collision_lo,collision_hi,collision_ci95,collision_median,collision_iqr,timeout_mean,timeout_lo,timeout_hi,timeout_ci95,timeout_median,timeout_iqr,intrusion_count_mean,intrusion_count_lo,intrusion_count_hi,intrusion_count_ci95,intrusion_count_median,intrusion_count_iqr,path_length_ratio_succ_mean,path_length_ratio_succ_lo,path_length_ratio_succ_hi,path_length_ratio_succ_ci95,path_length_ratio_succ_median,path_length_ratio_succ_iqr,nav_time_succ_mean,nav_time_succ_lo,nav_time_succ_hi,nav_time_succ_ci95,nav_time_succ_median,nav_time_succ_iqr,mean_sq_accel_mean,mean_sq_accel_lo,mean_sq_accel_hi,mean_sq_accel_ci95,mean_sq_accel_median,mean_sq_accel_iqr,min_separation_mean,min_separation_lo,min_separation_hi,min_separation_ci95,min_separation_median,min_separation_iqr,action_autocorr_mean,action_autocorr_lo,action_autocorr_hi,action_autocorr_ci95,action_autocorr_median,action_autocorr_iqr,displacement_efficiency_mean,displacement_efficiency_lo,displacement_efficiency_hi,displacement_efficiency_ci95,displacement_efficiency_median,displacement_efficiency_iqr,alias
R12345,6,1.0,0.9826666666666665,0.9793333333333334,0.9856666666666666,0.0031666666666665955,0.983,0.0050000000000001155,0.02033333333333333,0.017333333333333333,0.023999999999999997,0.0033333333333333322,0.019999999999999997,0.005499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.1286666666666667,0.964,1.3139999999999998,0.17499999999999993,1.1,0.4145000000000001,1.7138960223521862,1.6490491282780668,1.7899310490951201,0.07044096040852665,1.6787790851506759,0.12703800372985086,13.762210237517253,13.23934339238891,14.373434434401522,0.5670455210063059,13.477700776666943,1.002815613643433,0.5005521069737066,0.4777825696882863,0.5226825138202272,0.022449972065970464,0.49836551297278886,0.025718013305509324,0.6189830058592317,0.58188882856571,0.6591921865036291,0.038651678968959546,0.61498628688804,0.05880644310945837,0.9698068405528666,0.9612387065364646,0.9773144798813992,0.008037886672467298,0.97544935125944,0.014377999567517952,0.6036527538752863,0.5811535910096804,0.6229762107845528,0.02091130988743617,0.6150607619422337,0.036289111673974195,R1-5_full
R1234,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,0.0,0.001,0.0005,0.0,0.0,0.9996666666666667,0.999,1.0,0.0005000000000000004,1.0,0.0,0.165,0.15033333333333332,0.18066666666666664,0.015166666666666662,0.16499999999999998,0.03,,,,,,0.0,,,,,,0.0,0.9951872544665884,0.6156062703218027,1.3749349918844271,0.3796643607813122,1.0367109792278002,0.774911464082129,1.5086121268097503,1.4331086973425187,1.57849936357972,0.07269533311860066,1.5124263944797556,0.07651925783174973,0.8448133701964172,0.7233705187647758,0.919642480246967,0.09813598074109564,0.8991715489044598,0.03889310501884968,0.49734740359278673,0.34430406657255674,0.7075961100077572,0.18164602171760025,0.4281850954653462,0.1933836379538011,A5_no-jerk
R1235,6,1.0,0.9783333333333334,0.9710000000000001,0.9853333333333333,0.007166666666666599,0.984,0.015000000000000124,0.024000000000000004,0.015333333333333332,0.03333333333333333,0.009000000000000001,0.018000000000000002,0.019000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.1526666666666665,0.9609166666666666,1.3763333333333332,0.20770833333333327,1.073,0.3115000000000001,1.7138382469229498,1.6485992007063315,1.7983896389879142,0.07489521914079134,1.6691564367288723,0.11400957348056218,13.76907270845671,13.234410274040435,14.470521691782722,0.6180557088711431,13.403589789574365,0.9121865766345003,0.48287356435504863,0.43880369953827875,0.5170426571119004,0.03911947878681085,0.5003885519547323,0.045755756323763996,0.6192462797337135,0.575543507712719,0.6690165408509459,0.04673651656911343,0.6153605251667194,0.07811293680747955,0.9699636406626161,0.9589258788976031,0.9806229050915644,0.01084851309698065,0.9712573271971525,0.012115111697871161,0.6026907687162368,0.5768825871336695,0.6236637435234348,0.02339057819488266,0.6151360822570007,0.037756843097481285,A4_no-ttc
R1245,6,0.8333333333333334,0.8109999999999999,0.48466666666666663,0.9786666666666667,0.24700000000000003,0.972,0.011500000000000066,0.02666666666666667,0.014,0.037,0.0115,0.033,0.015499999999999996,0.16666666666666666,0.0,0.5,0.25,0.0,0.0,1.1266666666666667,0.7213333333333334,1.4663333333333333,0.37249999999999994,1.245,0.4515,1.7102527413683652,1.6751956717972576,1.7443293066942154,0.03456681744847889,1.7290620760313549,0.06765895693098334,13.719786182782121,13.44869706238725,13.989818158724782,0.27056054816876607,13.853608247422681,0.5550933584949593,0.4619014928423937,0.31086688308422306,0.5482471351645014,0.11869012604013918,0.5425560077156739,0.04519411671375384,0.7471623768850946,0.5585898769028764,1.0709876614855796,0.25619889229135157,0.5914087005130566,0.09815746416889515,0.9720822578517062,0.9619836960661053,0.984716970241509,0.011366637087701803,0.9683364177600668,0.015611996152508967,0.6619323349283338,0.5973491851364312,0.7778169424762024,0.09023387866988558,0.6097336113172193,0.022128556044402226,A3_no-space
R1345,6,0.16666666666666666,0.165,0.0,0.49499999999999994,0.24749999999999997,0.0,0.0,0.002,0.0,0.006000000000000001,0.0030000000000000005,0.0,0.0,0.8333333333333334,0.5,1.0,0.25,1.0,0.0,0.45966666666666667,0.24566666666666667,0.8573333333333334,0.30583333333333335,0.265,0.061,1.6126839768341703,1.6126839768341703,1.6126839768341703,0.0,1.6126839768341703,0.0,12.943939393939393,12.943939393939393,12.943939393939393,0.0,12.943939393939393,0.0,0.20071475646356252,0.11100141897052561,0.3438481893485306,0.1164233851890025,0.14650862932247743,0.09854632709975678,1.3878450013138395,1.0549881136580124,1.5669312473783459,0.25597156686016675,1.5416025632250139,0.04305016567258213,0.9918999987345294,0.9780579523807823,0.999695143400816,0.010818595510016848,0.9990854302024477,0.003994219164567547,0.8194699452543123,0.714565484990621,0.9236598415802448,0.10454717829481192,0.8786206545433894,0.26431031515460324,A2_no-distance
R2345,6,1.0,0.9746666666666667,0.9686666666666667,0.9796666666666667,0.005500000000000005,0.976,0.0015000000000000568,0.03166666666666667,0.026,0.03766666666666666,0.005833333333333331,0.031,0.006499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.9009999999999999,0.7373333333333333,1.0713333333333332,0.16699999999999998,0.8819999999999999,0.31900000000000006,1.976092801394145,1.883472210456535,2.0771096200464094,0.09681870479493726,1.9631150671969162,0.21189343211795597,15.86938942539201,15.132848643575604,16.6817034072257,0.7744273818250482,15.756961743023531,1.7080269240186734,0.5122052219594934,0.47818288962428523,0.5490787801375242,0.035447945256619484,0.500322581155919,0.06948050473689393,0.6876425002668256,0.6415325646124767,0.7305374270306565,0.04450243120908992,0.6854762865321624,0.06548919297989297,0.9806187342917797,0.9738602512296203,0.9879085719782069,0.00702416037429332,0.9806599924669777,0.015614239620628134,0.5290567635062726,0.5041452523927995,0.5517235535564069,0.023789150581803697,0.5311324494141324,0.057460546909350985,A1_no-goal
R123,6,0.0,0.016,0.0,0.04800000000000001,0.024000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984,0.952,1.0,0.02400000000000002,1.0,0.0,0.18299999999999997,0.16666666666666666,0.20866666666666664,0.02099999999999999,0.16999999999999998,0.014499999999999985,2.8610744524543,2.8610744524543,2.8610744524543,0.0,2.8610744524543,0.0,23.671875,23.671875,23.671875,0.0,23.671875,0.0,0.8493312212027057,0.5830605454154975,1.1005116263505412,0.2587255404675219,0.8683149583319452,0.5050032417561598,1.4505385593604803,1.3467750599453954,1.5561251714031676,0.10467505572888613,1.4424679093652708,0.21749026932633408,0.8584357598096807,0.8011139562007683,0.9133130332111444,0.05609953850518806,0.8711593176288613,0.0763637302365604,0.5319712762064029,0.3439771732783077,0.7407254355089044,0.19837413111529834,0.481755937647363,0.3530683493809058,B4_goal+dist+space
R124,6,0.16666666666666666,0.15733333333333333,0.0,0.472,0.236,0.0,0.0,0.005333333333333333,0.0,0.015333333333333332,0.007666666666666666,0.0,0.0015,0.8373333333333334,0.5126666666666666,1.0,0.2436666666666667,1.0,0.0015000000000000568,0.303,0.17300000000000001,0.5319999999999999,0.17949999999999994,0.195,0.06649999999999998,2.1586448166471786,2.1586448166471786,2.1586448166471786,0.0,2.1586448166471786,0.0,19.25688559322034,19.25688559322034,19.25688559322034,0.0,19.25688559322034,0.0,1.0849254861488016,0.724140803018044,1.3784031501204552,0.32713117355120563,1.213892291971825,0.3916180460595764,1.4285046156007708,1.174566501130114,1.5804938522059382,0.20296367553791206,1.5333559110826989,0.06763858325979788,0.849984768079762,0.7860951285690994,0.89437811632691,0.05414149387890532,0.8759064354765471,0.034459036428957535,0.49815328859794866,0.35474661671374746,0.7020483138190958,0.17365084855267418,0.44399226938180103,0.11379117213532591,B5_goal+dist+ttc
R125,6,1.0,0.9710000000000001,0.956,0.9826666666666667,0.013333333333333364,0.973,0.01100000000000001,0.031,0.01965833333333334,0.04566666666666667,0.013004166666666664,0.028999999999999998,0.012500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.327,1.1533333333333333,1.5066666666666666,0.17666666666666664,1.234,0.363,1.7143444447037695,1.6707631992314502,1.752742914576454,0.04098985767250185,1.7258130662070705,0.08211761949771579,13.778373535994712,13.430200175125492,14.092918411628867,0.3313591182516875,13.866124353501622,0.6375205936610868,0.4764669786845243,0.44741225127508294,0.5071474890548916,0.02986761888990433,0.4737084427008038,0.0682219903324306,0.5719163763156884,0.5390614668755854,0.6039626203280595,0.032450576726237024,0.5788145844032176,0.058304430982420996,0.9775026427980905,0.9719704818265846,0.9832875243994993,0.00565852128645733,0.9782874875098544,0.013230857957374442,0.6065447338548985,0.5923179339613521,0.620771533748445,0.014226799893546416,0.6063919587510544,0.027986154621432613,B3_goal+dist+jerk
R134,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.15500000000000003,0.1426666666666667,0.16933333333333334,0.013333333333333322,0.15,0.024999999999999994,,,,,,0.0,,,,,,0.0,0.5330380854816227,0.2395267115214955,1.052564536490537,0.4065189124845207,0.30478064749670375,0.13507107961659232,1.624277308208268,1.5857157638828,1.6466574567260357,0.030470846421617903,1.641180991905104,0.011142730498779896,0.6067629979235003,0.4700301439980863,0.7592000975460206,0.14458497677396714,0.517523705240059,0.2759707038733347,0.8800197391561614,0.6966490495580805,0.9836176396310883,0.1434842950365039,0.9790009891527731,0.05235092805755259,
